File Name,k-eff_o,std_o,therm fiss,int fiss,fast fiss,above therm fiss, Avg E, Avg leth causing fiss
leu-sol-therm-002-001,0.99092,0.00025,96.97,2.17,0.86,3.03,25051,0.036854
leu-sol-therm-002-002,0.97989,0.00028,96.58,2.44,0.98,3.42,28674,0.038715
leu-sol-therm-004-003,0.98898,0.00009,96.58,2.79,0.63,3.42,16886,0.037655
leu-sol-therm-004-005,0.99287,0.00008,96.86,2.57,0.58,3.14,15464,0.036435
leu-sol-therm-004-002,0.99059,0.00009,96.35,2.97,0.68,3.65,18072,0.038701
leu-sol-therm-004-004,0.99196,0.00008,96.74,2.66,0.6,3.26,16042,0.036953
leu-sol-therm-004-001,0.98858,0.00009,96.15,3.14,0.72,3.85,19122,0.039656
leu-sol-therm-004-006,0.99258,0.00008,96.95,2.49,0.56,3.05,14981,0.036035
leu-sol-therm-004-007,0.99346,0.00008,97.03,2.43,0.54,2.97,14570,0.035688
leu-sol-therm-007-001,0.97931,0.0001,95.98,3.27,0.76,4.02,20232,0.040427
leu-sol-therm-007-002,0.98228,0.0001,96.22,3.07,0.71,3.78,18934,0.039264
leu-sol-therm-007-003,0.98185,0.00009,96.48,2.87,0.66,3.52,17600,0.0381
leu-sol-therm-007-004,0.98508,0.00009,96.64,2.74,0.62,3.36,16739,0.037365
leu-sol-therm-007-014,0.97935,0.00033,95.97,3.27,0.76,4.03,20326,0.040413
leu-sol-therm-007-005,0.98454,0.00009,96.77,2.63,0.6,3.23,16098,0.036811
leu-sol-therm-007-030,0.98199,0.0003,96.22,3.07,0.71,3.78,18973,0.039279
leu-sol-therm-020-004,0.99183,0.00007,97.43,2.1,0.47,2.57,12628,0.034016
leu-sol-therm-021-004,0.9896,0.00007,97.4,2.13,0.48,2.6,12901,0.034153
leu-sol-therm-021-003,0.9859,0.00008,97.28,2.22,0.5,2.72,13515,0.034649
leu-sol-therm-007-036,0.98515,0.00028,96.66,2.72,0.62,3.34,16797,0.037326
leu-sol-therm-007-032,0.98196,0.0003,96.48,2.87,0.66,3.52,17635,0.038099
leu-sol-therm-007-049,0.98435,0.00028,96.77,2.63,0.6,3.23,15918,0.03684
leu-sol-therm-020-001,0.98713,0.00009,96.92,2.51,0.57,3.08,15233,0.036147
leu-sol-therm-020-002,0.98789,0.00008,97.11,2.36,0.53,2.89,14324,0.035365
leu-sol-therm-020-003,0.9893,0.00007,97.32,2.19,0.49,2.68,13210,0.034491
leu-sol-therm-021-001,0.98275,0.00009,96.87,2.55,0.58,3.13,15646,0.036369
leu-sol-therm-021-002,0.98472,0.00008,97.05,2.4,0.54,2.95,14675,0.035575
leu-sol-therm-007-case-14,0.97935,0.00033,95.97,3.27,0.76,4.03,20326,0.040413
leu-sol-therm-007-case-36,0.98515,0.00028,96.66,2.72,0.62,3.34,16797,0.037326
leu-sol-therm-007-case-30,0.98199,0.0003,96.22,3.07,0.71,3.78,18973,0.039279
leu-sol-therm-007-case-49,0.98435,0.00028,96.77,2.63,0.6,3.23,15918,0.03684
leu-sol-therm-007-case-32,0.98196,0.0003,96.48,2.87,0.66,3.52,17635,0.038099
leu-sol-therm-002-case-2,0.97989,0.00028,96.58,2.44,0.98,3.42,28674,0.038715
leu-sol-therm-002-case-1,0.99092,0.00025,96.97,2.17,0.86,3.03,25051,0.036854
